INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-49-0500-2018-96a,CA0490500,3/2/2018,2:51,SANTA ROSA,SONOMA,CA,95407,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-49-0500-2018-d96,CA0490500,6/1/2018,19:26,SANTA ROSA,SONOMA,CA,95405,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,2
URSUS-49-0800-2018-af5,CA0490800,4/3/2018,12:00,PETALUMA,SONOMA,CA,94954,FALSE,FALSE,TRUE,TRUE,in_progress,,1,5,1
URSUS-50-0000-2018-1cf,CA0500000,12/30/2018,14:27,SALIDA,STANISLAUS,CA,95368,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-50-0000-2018-3ad,CA0500000,5/5/2018,10:27,MODESTO,STANISLAUS,CA,95354,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,1
URSUS-50-0000-2018-f77,CA0500000,6/4/2018,19:28,RIVERBANK,STANISLAUS,CA,95367,FALSE,FALSE,TRUE,TRUE,civil_disorder,,1,2,1
URSUS-50-0100-2018-a52,CA0500100,8/18/2018,16:16,HUGHSON,STANISLAUS,CA,95326,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-51-0200-2018-69a,CA0510200,9/1/2018,0:44,YUBA CITY,SUTTER,CA,95993,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-52-0000-2018-514,CA0520000,1/7/2018,15:00,RED BLUFF,TEHAMA,CA,96080,FALSE,FALSE,FALSE,FALSE,in_custody_event,awaiting_booking,1,4,1
URSUS-52-0000-2018-5d7,CA0520000,7/7/2018,19:29,LOS MOLINOS,TEHAMA,CA,96055,FALSE,FALSE,FALSE,TRUE,in_progress,,2,8,1
URSUS-52-0000-2018-963,CA0520000,1/3/2018,19:49,COTTONWOOD,TEHAMA,CA,96022,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-52-0000-2018-b8f,CA0520000,6/7/2018,13:47,COTTONWOOD,TEHAMA,CA,96022,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,9,1
URSUS-52-0000-2018-c98,CA0520000,9/11/2018,19:00,LOS MOLINOS,TEHAMA,CA,96055,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,1
URSUS-52-0000-2018-d5d,CA0520000,8/25/2018,5:16,LOS MOLINOS,TEHAMA,CA,96055,FALSE,FALSE,TRUE,TRUE,in_progress,,1,4,1
URSUS-52-0000-2018-e65,CA0520000,4/2/2018,5:38,COTTONWOOD,TEHAMA,CA,96022,FALSE,FALSE,TRUE,TRUE,in_progress,,1,7,1
URSUS-52-0000-2018-f4e,CA0520000,1/9/2018,21:11,CORNING,TEHAMA,CA,96021,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-54-0000-2018-638,CA0540000,4/9/2018,9:03,EARLIMART,TULARE,CA,93219,FALSE,FALSE,TRUE,TRUE,call_for_service,,2,2,2
URSUS-54-0100-2018-445,CA0540100,9/10/2018,15:41,DINUBA,TULARE,CA,93618,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-54-0400-2018-876,CA0540400,7/3/2018,8:20,LINDSAY,TULARE,CA,93247,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-54-0500-2018-c60,CA0540500,5/2/2018,5:43,PORTERVILLE,TULARE,CA,93257,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-54-0600-2018-dde,CA0540600,3/12/2018,16:36,TULARE,TULARE,CA,93274,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-54-0600-2018-edd,CA0540600,12/9/2018,19:02,TULARE,TULARE,CA,93274,FALSE,FALSE,FALSE,TRUE,in_progress,,3,4,1
URSUS-54-0700-2018-6c1,CA0540700,4/4/2018,23:24,VISALIA,TULARE,CA,93291,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-54-0700-2018-6e6,CA0540700,9/22/2018,15:10,VISALIA,TULARE,CA,93291,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
