INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,PRIMARY_AGENCY_INDICATOR
URSUS-15-013G-2017-02e,CA015013G,3/30/2017,11:25,BAKERSFIELD,KERN,CA,93305,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,*
URSUS-15-013G-2017-7f6,CA015013G,10/20/2017,12:59,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,5,*
URSUS-15-013G-2017-f84,CA015013G,1/24/2017,16:51,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,*
URSUS-15-0200-2017-028,CA0150200,11/24/2017,23:33,BAKERSFIELD,KERN,CA,93305,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-15-0200-2017-199,CA0150200,6/18/2017,16:04,BAKERSFIELD,KERN,CA,93304,FALSE,TRUE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-27a,CA0150200,9/29/2017,14:49,BAKERSFIELD,KERN,CA,93308,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-333,CA0150200,3/4/2017,19:11,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,*
URSUS-15-0200-2017-35b,CA0150200,12/28/2017,17:00,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-3d0,CA0150200,2/3/2017,6:45,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-4e1,CA0150200,10/2/2017,0:19,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-540,CA0150200,4/10/2017,3:49,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-565,CA0150200,10/15/2017,14:22,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-57e,CA0150200,5/15/2017,0:46,BAKERSFIELD,KERN,CA,93308,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
