id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
322,5/17/2009,,24,,0,1,f
704,12/1/2011,4,195,,0,1,f
190,3/24/2010,6,228,,0,1,f
150,11/7/2009,7,234,,0,1,f
827,11/7/2009,,182,,0,1,f
834,8/12/2011,,128,,1,0,f
1046,9/26/2012,1,362,,1,0,f
608,1/4/2013,,29,,2,0,f
1001,5/1/2013,,110,,1,0,f
75,7/3/2012,,128,,0,1,f
512,7/5/2011,1,159,,0,1,f
155,6/24/2012,2,58,,1,0,t
394,7/5/2012,,105,,0,1,f
1040,10/10/2014,,157,,0,1,f
904,11/16/2014,4,362,,1,0,t
839,12/27/2014,21,182,,1,0,f
500,1/22/2013,3,113,,0,1,f
559,1/14/2010,11,236,,0,1,f
998,12/20/2009,1,53,,0,1,f
134,7/6/2012,1,219,,1,0,f
638,8/1/2009,1,29,,0,1,t
849,1/2/2014,7,182,,0,1,t
935,7/31/2012,,29,,1,0,f
891,11/27/2012,,73,,0,1,f
641,3/14/2014,1,235,,1,0,f
133,6/1/2014,,171,,0,1,f
873,10/26/2009,2,147,,0,1,f
850,10/27/2013,3,182,,1,0,f
306,10/18/2009,19,198,,1,0,f
567,8/9/2011,,198,,0,1,f
836,12/16/2011,29,128,,0,1,f
585,10/7/2011,1,97,,1,0,f
1087,12/4/2009,,124,,0,1,f
776,10/4/2012,11,53,,1,0,t
752,7/15/2011,8,86,,0,1,f
757,11/22/2010,,77,,0,1,f
525,7/3/2012,,189,,0,1,f
702,3/26/2012,,29,,0,1,f
758,12/4/2012,,331,,1,0,t
925,6/15/2014,4,195,,0,1,f
814,3/20/2010,,182,,0,1,f
1027,8/14/2011,1,179,,0,1,f
768,5/23/2012,15,106,,0,1,f
842,1/17/2013,,22,,0,1,f
659,5/31/2010,5,195,,0,1,t
653,8/22/2009,26,83,,0,1,f
588,5/2/2012,4,109,,0,1,f
831,10/1/2011,4,133,,0,1,f
519,11/10/2009,3,171,,0,1,f
1085,12/7/2012,,124,,0,2,f
990,2/5/2014,,378,,1,0,t
761,2/20/2009,2,329,,1,0,f
642,10/28/2014,9,316,,1,0,t
96,5/22/2014,,128,,0,1,t
620,4/25/2009,60,130,,0,1,t
739,6/20/2009,1,29,,1,0,f
644,4/4/2013,4,186,,0,1,f
649,12/20/2009,,153,,0,1,f
742,7/17/2013,,24,,0,1,f
921,5/30/2011,116,77,,1,4,f
662,12/24/2009,1,269,,1,0,f
215,6/19/2014,3,53,,0,1,f
300,8/3/2009,2,263,,1,0,f
612,8/5/2011,18,88,,1,0,f
717,2/8/2013,2,125,,0,1,f
841,11/24/2014,,182,,1,0,f
892,2/3/2009,,148,,0,1,f
65,10/5/2009,4,171,,0,1,t
100,4/15/2014,,25,,0,1,t
287,6/12/2012,32,53,,1,0,f
220,4/8/2014,9,151,,1,0,t
1074,12/19/2014,4,330,,0,1,f
763,5/28/2014,,269,,0,1,f
650,1/24/2010,,29,,0,1,f
95,3/9/2014,1,213,,1,0,f
756,5/30/2012,2,89,,0,1,f
844,6/4/2014,4,182,,1,0,f
746,2/25/2009,8,29,,1,0,f
316,3/5/2014,,60,,1,0,f
812,3/26/2010,42,182,,1,2,f
845,5/2/2014,3,182,,1,0,f
596,11/27/2014,1,24,,1,0,t
388,3/2/2014,3,178,,0,1,f
750,8/5/2014,3,111,,0,1,t
473,10/10/2013,3,195,,0,1,f
846,4/26/2014,,182,,0,1,f
173,9/5/2012,1,124,,0,1,f
28,3/8/2013,4,125,,1,0,t
225,2/10/2014,,138,,1,0,f
848,3/21/2014,,182,,1,0,f
770,4/28/2011,,207,,1,1,f
239,7/25/2012,5,45,,1,0,f
219,10/26/2013,1,45,,1,0,t
291,12/15/2012,,178,,1,0,f
901,11/22/2014,,195,,1,0,t
966,7/18/2013,,86,,1,0,f
733,4/22/2014,,102,,1,0,t
1071,8/27/2009,,97,,1,0,t
503,4/12/2012,6,113,,0,1,t
589,10/11/2011,,24,,0,1,f
603,6/16/2012,4,189,,1,0,f
317,2/16/2012,,268,,1,0,f
855,1/28/2013,7,182,,1,0,f
655,6/16/2013,,29,,1,0,f
664,5/21/2010,15,92,,0,2,f
994,6/2/2012,,157,,0,1,f
605,1/6/2011,,198,,0,1,f
311,10/25/2013,1,250,,1,0,t
83,2/3/2009,7,231,,1,0,t
851,7/9/2013,,182,,0,1,f
607,5/14/2013,1,270,,1,0,f
790,2/13/2009,,182,,0,1,f
246,3/23/2012,,178,,0,1,f
863,12/14/2009,7,182,,1,0,f
260,6/7/2014,1,111,,0,1,f
213,9/25/2013,9,71,,0,2,f
331,7/16/2013,,105,,1,0,f
726,11/22/2011,32,46,,1,0,f
771,6/24/2013,,115,,1,0,f
199,1/12/2012,,398,,1,0,f
637,9/6/2012,,186,,1,0,t
382,12/23/2013,6,105,,0,1,f
962,11/4/2013,33,97,,1,0,
509,9/25/2013,,187,,1,0,f
774,4/24/2012,,139,,0,1,f
257,10/26/2011,3,139,,0,1,f
198,2/11/2011,40,182,,1,0,f
890,1/20/2012,7,265,,1,0,f
806,1/17/2012,8,182,,1,0,f
1136,1/13/2010,,414,,0,1,f
222,6/8/2014,3,151,,0,1,t
170,5/17/2010,12,241,,1,0,t
857,6/24/2012,1,182,,0,1,t
718,3/2/2009,,97,,1,0,f
245,9/23/2013,5,105,,1,0,t
146,9/7/2014,2,33,,1,0,t
501,6/11/2012,4,113,,1,0,f
856,12/11/2012,7,182,,1,0,f
421,4/15/2013,20,105,,0,2,f
296,10/7/2011,,178,,0,1,f
651,5/15/2014,5,79,,1,0,f
195,3/8/2013,,247,,1,0,f
967,2/12/2011,1,109,,1,0,
882,11/5/2010,7,128,,1,0,f
858,5/31/2012,5,182,,1,0,f
820,4/30/2013,21,182,,1,0,f
652,7/15/2012,6,25,,1,0,f
861,3/19/2012,5,182,,0,1,f
157,8/28/2011,6,239,,1,0,t
975,12/24/2014,1,90,,1,0,t
910,12/14/2014,,,53,1,0,t
958,12/28/2013,2,197,,1,0,f
887,9/27/2012,,169,,1,0,f
792,3/17/2011,5,182,,1,0,f
1102,4/25/2013,,29,,0,1,f
403,12/9/2011,44,281,,1,0,f
869,5/6/2009,,128,,0,1,f
894,8/28/2014,,26,,1,0,f
865,10/30/2010,,128,,0,1,f
1051,2/2/2011,,,7,1,0,
93,1/3/2013,22,113,,0,1,f
875,1/5/2010,137,128,,1,0,f
872,8/2/2009,1,351,,0,1,f
826,4/1/2011,22,128,,1,0,f
777,1/2/2012,4,182,,0,1,f
1035,7/1/2012,,157,,0,1,f
983,7/8/2014,,374,,1,0,f
288,4/29/2012,1,176,,0,1,t
495,6/29/2011,5,135,,1,0,f
137,4/19/2010,1,33,,0,1,f
877,2/19/2010,1,100,,1,0,f
864,12/19/2009,3,182,,0,1,f
816,4/29/2013,,128,,1,0,f
878,4/9/2010,2,133,,1,0,f
661,3/31/2010,3,31,,1,0,f
818,8/22/2009,,182,,1,0,f
496,4/22/2011,3,24,,0,1,f
97,7/19/2014,29,128,,0,1,f
268,2/12/2009,3,241,,1,0,t
819,9/20/2009,1,182,,1,0,f
898,9/20/2014,,358,,1,0,f
1000,3/16/2009,2,77,,1,0,t
784,7/23/2014,,174,,0,1,f
1009,5/15/2009,,18,,1,0,f
999,11/19/2009,,117,,1,0,
800,3/15/2010,,222,,1,0,f
815,5/18/2011,,223,,0,1,f
959,12/24/2013,3,124,,1,0,f
1003,1/21/2009,1,179,,0,1,f
948,12/16/2010,24,29,,1,0,f
985,6/5/2014,,305,,1,0,f
833,9/10/2011,13,133,,1,0,f
1084,12/16/2012,,124,,0,1,f
491,7/5/2011,1,158,,1,0,t
289,2/1/2011,49,110,,2,0,f
256,7/29/2013,3,241,,1,0,f
1095,8/25/2011,,29,,0,1,f
665,4/28/2012,28,71,,0,2,f
295,1/26/2009,,178,,1,0,f
258,2/15/2009,5,178,,1,0,f
871,6/25/2009,3,128,,0,1,f
1033,9/13/2013,4,157,,0,1,f
667,5/28/2012,,29,,0,1,f
984,7/3/2014,9,198,,1,0,f
109,6/15/2013,,58,,1,0,f
1123,2/10/2014,,148,,0,1,f
249,7/4/2013,10,71,,0,1,f
791,3/29/2011,12,182,,1,0,t
113,9/29/2009,11,124,,1,0,f
346,8/24/2011,,24,,1,0,f
281,7/31/2013,2,178,,0,1,f
77,5/3/2013,,128,,1,1,f
1110,1/30/2013,,29,,0,1,f
537,11/24/2010,,128,,0,1,f
995,2/10/2012,,157,,1,0,f
903,11/18/2014,7,39,,1,0,t
916,4/4/2014,5,125,,1,0,t
210,3/20/2010,7,45,,1,0,f
1030,8/24/2011,,53,,0,2,f
253,6/21/2011,,105,,0,1,f
430,6/6/2012,,128,,0,1,f
635,11/22/2011,1,31,,0,1,f
117,5/9/2012,4,178,,1,0,f
678,3/26/2009,1,310,,0,1,f
581,8/9/2013,38,79,,1,0,t
907,12/31/2014,,29,,1,0,f
832,10/22/2011,4,128,,0,1,f
908,12/26/2014,,92,,1,0,f
