id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
713,7/23/2012,,29,,1,0,f
766,12/19/2012,16,106,,1,0,f
1119,9/19/2013,5,83,,0,1,f
224,8/13/2014,9,342,,1,0,t
1106,9/23/2014,,308,,0,1,f
926,1/8/2013,9,117,,1,0,
228,1/5/2014,31,113,,1,0,f
399,2/10/2009,,105,,1,0,f
583,4/8/2009,,308,,1,0,f
1097,4/29/2012,,256,,0,1,f
397,12/26/2009,5,105,,1,0,f
927,1/9/2013,,24,,1,0,f
1115,6/15/2013,,29,,1,0,f
582,4/18/2009,,150,,0,2,f
59,2/23/2012,4,211,,0,1,t
251,7/25/2011,,209,,0,1,t
825,4/20/2011,,128,,0,1,f
1022,6/8/2010,,125,,0,1,f
657,2/4/2009,,29,,1,1,f
1109,1/17/2013,,29,,0,1,f
27,10/20/2013,8,125,,1,0,f
1107,7/26/2014,9,190,,0,1,f
431,2/19/2012,,128,,0,1,f
51,4/1/2013,2,86,,1,0,t
686,8/4/2012,4,92,,0,1,f
575,8/21/2012,3,235,,1,0,f
687,4/1/2011,1,149,,0,1,t
1104,12/2/2014,3,96,,0,1,f
772,10/10/2010,6,18,,0,1,f
1141,2/8/2013,1,46,,0,1,f
439,7/11/2011,,128,,0,1,f
928,7/27/2013,,46,,1,0,t
118,1/4/2013,,178,,1,0,f
817,1/13/2012,2,128,,1,0,f
167,4/20/2012,3,124,,0,1,f
979,10/24/2014,,149,,1,0,
42,6/14/2012,,206,,0,1,f
44,12/30/2010,1,86,,1,0,t
930,10/18/2013,,53,,0,1,f
690,7/8/2009,3,83,,0,1,t
350,7/22/2012,,24,,1,0,f
571,4/13/2011,2,270,,0,1,t
691,10/20/2011,,220,,0,1,f
1103,6/10/2014,7,31,,0,1,t
860,4/5/2012,4,182,,1,0,f
601,7/1/2014,4,166,,1,0,f
716,3/13/2014,1,186,,0,1,f
1053,9/29/2011,8,178,,1,0,f
692,11/20/2011,1,84,,0,1,f
938,7/15/2012,,29,,1,0,f
442,5/6/2011,3,128,,0,1,f
870,6/17/2009,12,128,,1,0,f
804,12/21/2010,8,182,,0,1,f
326,4/20/2010,,24,,0,1,f
230,4/29/2011,15,206,,1,0,t
447,4/23/2011,,128,,0,1,f
1137,7/16/2011,,58,,0,1,f
693,12/30/2010,4,47,,0,1,f
361,9/6/2013,,,11,1,0,f
362,1/9/2014,2,24,,0,1,t
174,1/27/2013,13,124,,1,0,f
261,12/24/2013,,115,,0,1,f
942,8/28/2012,,300,,1,0,f
728,2/27/2013,2,232,,0,1,t
981,10/20/2014,2,171,,1,0,f
591,1/10/2012,15,83,,1,0,f
669,1/8/2011,17,,2,1,0,f
181,5/10/2014,3,124,,0,1,f
487,9/18/2013,1,228,,1,0,f
964,10/26/2013,12,157,,1,0,f
208,9/7/2013,58,105,,1,0,t
1036,8/17/2013,4,53,,0,1,t
